fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,17,MADHYA PRADESH,1701,MORENA,5493200,243.776307745583,51,307,2274.347243,1010,10,9268,7135264,919602,40009,100240,3997,512.20428,20180.6346503138,137441,148147,221243,280581,288,288828,369296,10278,17394.0831270998,2886815,16,21.15,51.05,99.45,NA
2024-2025,Aug,17,MADHYA PRADESH,1708,CHHATARPUR,2374524,238.278456921347,39,321,1211.975469,4700,1,10241,1862802,247768,51250,90589,14813,649.56869,6300.20002059199,47165,65228,137798,265125,117,214643,403398,14941,4438.65586109999,607965,51,38.68,51.79,99.86,NA
2024-2025,Aug,17,MADHYA PRADESH,1719,SHAJAPUR,787587,227.591011064679,36,165,523.9282031,1940,3,5266,669789,120658,21110,50947,11063,358.23287,2406.54063,18306,25852,58654,102320,20,104061,177407,7206,1524.379557,242676,49,51.95,33.55,99.39,NA
2024-2025,Aug,17,MADHYA PRADESH,1720,DEWAS,1408374,238.933161640418,36,211,551.462207024999,2103,1,6786,1063119,145081,36237,197629,43259,485.16057,3576.766616,28806,39393,98198,196858,177,161563,325573,8889,2540.143839,336428,45,29.3,46.48,98.79,NA
2024-2025,Aug,17,MADHYA PRADESH,1725,KHANDWA,1553062,241.277284155939,27,664,860.423952672998,3231,0,10335,1858564,161105,26747,625854,114099,452.08211,5796.79880617299,66641,118252,138711,340694,198,193327,457141,13566,4484.29274349999,853597,51,19.34,62.74,98.76,NA
2024-2025,Aug,17,MADHYA PRADESH,1727,VIDISHA,1462500,244.225901151319,32,150,567.0987347,3979,2,14664,1094744,119881,29489,171967,11358,623.23342,3863.980554,33195,40807,120282,180070,22,210413,305144,18643,2673.648399,372087,62,29.84,37.2,99.69,NA
2024-2025,Aug,17,MADHYA PRADESH,1729,SEHORE,841075,242.370703273619,41,130,313.4398843,2148,0,8707,867358,151472,27376,99987,18210,496.21375,2911.875319,21046,31389,59896,114122,91,129807,240715,10855,2102.221685,314360,46,32.67,39.12,99.18,NA
2024-2025,Aug,17,MADHYA PRADESH,1730,RAISEN,917840,240.00716352236,33,122,568.0747756,2799,0,9922,778603,115625,21452,119947,22824,475.35806,2912.135811,23115,33042,71031,124263,97,142056,224376,12721,1868.702975,276156,61,49.8,26.86,99.21,NA
2024-2025,Aug,17,MADHYA PRADESH,1731,BETUL,2130118,235.658119413211,25,1464,826.965307,3178,0,11939,1558588,182066,55242,790403,203759,586.15245,5086.05692715898,60794,88232,163169,384617,147,212308,480831,15117,3672.93917019998,809587,52,19.69,70.01,99.76,NA
2024-2025,Aug,17,MADHYA PRADESH,1735,MANDLA,4809060,217.079461131129,23,2289,1928.369752,8074,0,18964,2581333,169831,32506,1554641,265280,543.69984,8075.61335791202,109602,156869,214962,455966,225,240196,506730,27038,5603.54376640002,1440287,73,32.73,47.31,99.47,NA
